GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QuireBind Core,com.maiitsoh.quirebind.core.pdf,PdfPageLoader,0,70,0,4,0,20,0,4,0,2
QuireBind Core,com.maiitsoh.quirebind.core.pdf,PdfImpositionWriter,2,978,2,65,1,203,2,49,0,15
QuireBind Core,com.maiitsoh.quirebind.core.creep,CreepTransformApplier,0,5,0,0,0,1,0,1,0,1
QuireBind Core,com.maiitsoh.quirebind.core.creep,CreepCalculator,0,145,0,14,0,33,0,9,0,2
QuireBind Core,com.maiitsoh.quirebind.core.imposition,ImpositionEngine,0,30,0,0,0,11,0,1,0,1
QuireBind Core,com.maiitsoh.quirebind.core.imposition,FolioAssigner,0,200,0,46,0,48,0,25,0,2
QuireBind Core,com.maiitsoh.quirebind.core.imposition,PagePaddingApplier,0,152,0,22,0,27,0,14,0,3
QuireBind Core,com.maiitsoh.quirebind.core.imposition,SignatureComposer,0,227,0,13,0,41,0,10,0,3
QuireBind Core,com.maiitsoh.quirebind.core.model,NumberingConfig,0,219,0,20,0,37,0,24,0,14
QuireBind Core,com.maiitsoh.quirebind.core.model,ImposedSheet.Builder,0,63,0,4,0,20,0,9,0,7
QuireBind Core,com.maiitsoh.quirebind.core.model,InputFormat,0,45,0,0,0,8,0,1,0,1
QuireBind Core,com.maiitsoh.quirebind.core.model,CreepWarning.Builder,0,86,0,8,0,25,0,12,0,8
QuireBind Core,com.maiitsoh.quirebind.core.model,ImposedSheet,0,127,0,14,0,23,0,17,0,10
QuireBind Core,com.maiitsoh.quirebind.core.model,ConversionWarning.Builder,0,38,0,4,0,9,0,5,0,3
QuireBind Core,com.maiitsoh.quirebind.core.model,ImpositionLayout,0,21,0,0,0,4,0,1,0,1
QuireBind Core,com.maiitsoh.quirebind.core.model,QuirePage.Builder,0,80,0,10,0,23,0,12,0,7
